block_id,fazenda,status,month,center_lon,center_lat,image_date,cloud_percent,mgrs_tile,system_id,s2dr4_call
placemark_015,Placemark,fallback_best_cloud,2026-05,-47.95407138425127,-6.113052895517553,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.95407138,-6.11305290), date='2026-05-06')"
placemark_016,Placemark,fallback_best_cloud,2026-05,-47.919773152635415,-6.11324046194299,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.91977315,-6.11324046), date='2026-05-06')"
santa_maria_001,Santa Maria,fallback_best_cloud,2026-05,-48.05485871752753,-5.0488200526554525,2026-05-06,29.203051,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.05485872,-5.04882005), date='2026-05-06')"
santa_maria_002,Santa Maria,selected,2026-04,-48.02062306776486,-5.048663709579723,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.02062307,-5.04866371), date='2026-04-26')"
santa_rosa_001,Santa Rosa,selected,2026-04,-48.054703172012076,-5.0831514432560345,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.05470317,-5.08315144), date='2026-04-26')"
santa_rosa_002,Santa Rosa,selected,2026-04,-48.02046572060438,-5.082994031707935,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.02046572,-5.08299403), date='2026-04-26')"
santo_antonio_001,Santo Antonio,selected,2026-04,-47.98329677739647,-5.1173075242014106,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98329678,-5.11730752), date='2026-04-26')"
santo_antonio_002,Santo Antonio,selected,2026-04,-47.98313815902177,-5.082977356620926,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98313816,-5.08297736), date='2026-04-26')"
tapetao_001,Tapetão,selected,2026-04,-48.054703172012076,-5.0831514432560345,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.05470317,-5.08315144), date='2026-04-26')"
tapetao_002,Tapetão,selected,2026-04,-48.02046572060438,-5.082994031707935,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.02046572,-5.08299403), date='2026-04-26')"
tapetao_003,Tapetão,fallback_best_cloud,2026-05,-48.05485871752753,-5.0488200526554525,2026-05-06,29.203051,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.05485872,-5.04882005), date='2026-05-06')"
tapetao_004,Tapetão,selected,2026-04,-48.02062306776486,-5.048663709579723,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.02062307,-5.04866371), date='2026-04-26')"
tracks_001,TRACKS,selected,2026-04,-48.01753484778917,-5.117147027025504,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.01753485,-5.11714703), date='2026-04-26')"
tracks_002,TRACKS,selected,2026-04,-47.98329677739647,-5.1173075242014106,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98329678,-5.11730752), date='2026-04-26')"
tracks_003,TRACKS,selected,2026-04,-48.017374415714656,-5.082817941625247,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-48.01737442,-5.08281794), date='2026-04-26')"
tracks_004,TRACKS,selected,2026-04,-47.98313815902177,-5.082977356620926,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98313816,-5.08297736), date='2026-04-26')"
